so_hieu,level,title,heading,path,ordinal,content
108/QD/DHCNTT15/3/2019,chuong,Chương,,0,0.0,
108/QD/DHCNTT15/3/2019,dieu,Điều 1,"Sửa đổi, bổ sung một số Điều, Khoản của “Quy định đào tạo ngoại ngữ đối với",0/1,1.0,"hệ đại học chính quy của Trường Đại học Công nghệ Thông tin” ban hành kèm theo Quyết
định số 141/QĐ-ĐHCNTT, ngày 16/3/2018 của Hiệu trưởng Trường ĐHCNTT.
1. Bổ sung Khoản 3 Điều 3:
Bất kỳ thời điểm nào trong thời gian đăng ký học phần, sinh viên đều có thể nộp
chứng chỉ tiếng Anh quốc tế hoặc chứng nhận do Trung tâm Ngoại ngữ trường cấp để được
xét đăng ký vào học lớp Anh văn phù hợp với trình độ.
2. Bổ sung Khoản 3 Điều 5:
Công nhận kết quả kỳ thi tiếng Anh do Trung tâm Ngoại ngữ của Trường ĐHCNTT tổ
chức để xét miễn môn học (căn cứ giấy chứng nhận hợp lệ do Trung tâm Ngoại ngữ cấp).
3. Sửa đổi Bảng 4 trong Điều 6:
ĐẠI HỌC QUỐC GIA TP.HCM
TRƯỜNG ĐẠI HỌC
CÔNG NGHỆ THÔNG TIN
CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
Độc lập -Tự do - Hạnh phúc
Số: 108/QĐ-ĐHCNTT
Tp.Hồ Chí Minh, ngày 15 tháng 03  năm 2019
Bảng 4. Chuẩn quá trình
CTĐTr / CTTN / CTCLC
CTTT
Tiếng Anh
- Đạt môn học Anh văn 1; hoặc
- Có chứng chỉ quy định tại Bảng
3 hoặc giấy chứng nhận do
Trung tâm Ngoại ngữ trường cấp
tương đương TOEIC 350 điểm (2
kỹ năng Nghe – Đọc);
- Đạt môn học Anh văn 2;  hoặc
- Có chứng chỉ quy định tại
Bảng 3 hoặc giấy chứng nhận
do Trung tâm Ngoại ngữ trường
cấp tương đương TOEIC 400
điểm (2 kỹ năng Nghe – Đọc);
Tiếng Pháp
DELF A1 hoặc TCF Niveau 1
Không áp dụng
Tiếng Nhật
JLPT N5
Không áp dụng
4. Bổ sung Khoản 1 Điều 7:
Đối với khóa tuyển từ năm 2015 đến năm 2017: Sinh viên chính quy phải hoàn thành
các môn Anh văn trong chương trình đào tạo và có chứng chỉ tiếng Anh 4 kỹ năng đạt
chuẩn đầu ra theo quy định (trong đó 2 kỹ năng Nói - Viết có thể dùng chứng chỉ TOEIC
quốc tế hoặc của các cơ sở đào tạo được Đại học Quốc gia TP.HCM công nhận).
5. Sửa đổi Bảng 5 trong Điều 7:
Bảng 5. Chứng chỉ tiếng Anh dùng để xét công nhận tốt nghiệp
TOEIC
TOEFL
iBT
IELTS
Cambridge
English
VNU-
EPT
Nghe
và Đọc
Nói và
Viết
CTĐTr
450
185
45
4.5
PET (Pass)
Business Preliminary
(Pass)
176
CTTN/
CTCLC
555
205
60
5.5
PET (Distinction)
FCE
(Grade C)
Business Preliminary
(Distinction)
Business Vantage
(Grade C)
201
CTTT
675
205
79
6.0
FCE
(Grade B)
Business Vantage
(Grade B)
251"
108/QD/DHCNTT15/3/2019,khoan,Khoản 1,,0/1/1,1001.0,"Bổ sung Khoản 3 Điều 3:
Bất kỳ thời điểm nào trong thời gian đăng ký học phần, sinh viên đều có thể nộp
chứng chỉ tiếng Anh quốc tế hoặc chứng nhận do Trung tâm Ngoại ngữ trường cấp để được
xét đăng ký vào học lớp Anh văn phù hợp với trình độ."
108/QD/DHCNTT15/3/2019,khoan,Khoản 2,,0/1/2,1002.0,"Bổ sung Khoản 3 Điều 5:
Công nhận kết quả kỳ thi tiếng Anh do Trung tâm Ngoại ngữ của Trường ĐHCNTT tổ
chức để xét miễn môn học (căn cứ giấy chứng nhận hợp lệ do Trung tâm Ngoại ngữ cấp)."
108/QD/DHCNTT15/3/2019,khoan,Khoản 3,,0/1/3,1003.0,"Sửa đổi Bảng 4 trong Điều 6:
ĐẠI HỌC QUỐC GIA TP.HCM
TRƯỜNG ĐẠI HỌC
CÔNG NGHỆ THÔNG TIN
CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
Độc lập -Tự do - Hạnh phúc
Số: 108/QĐ-ĐHCNTT
Tp.Hồ Chí Minh, ngày 15 tháng 03  năm 2019
Bảng 4. Chuẩn quá trình
CTĐTr / CTTN / CTCLC
CTTT
Tiếng Anh
- Đạt môn học Anh văn 1; hoặc
- Có chứng chỉ quy định tại Bảng
3 hoặc giấy chứng nhận do
Trung tâm Ngoại ngữ trường cấp
tương đương TOEIC 350 điểm (2
kỹ năng Nghe – Đọc);
- Đạt môn học Anh văn 2;  hoặc
- Có chứng chỉ quy định tại
Bảng 3 hoặc giấy chứng nhận
do Trung tâm Ngoại ngữ trường
cấp tương đương TOEIC 400
điểm (2 kỹ năng Nghe – Đọc);
Tiếng Pháp
DELF A1 hoặc TCF Niveau 1
Không áp dụng
Tiếng Nhật
JLPT N5
Không áp dụng"
108/QD/DHCNTT15/3/2019,khoan,Khoản 4,,0/1/4,1004.0,"Bổ sung Khoản 1 Điều 7:
Đối với khóa tuyển từ năm 2015 đến năm 2017: Sinh viên chính quy phải hoàn thành
các môn Anh văn trong chương trình đào tạo và có chứng chỉ tiếng Anh 4 kỹ năng đạt
chuẩn đầu ra theo quy định (trong đó 2 kỹ năng Nói - Viết có thể dùng chứng chỉ TOEIC
quốc tế hoặc của các cơ sở đào tạo được Đại học Quốc gia TP.HCM công nhận)."
108/QD/DHCNTT15/3/2019,khoan,Khoản 5,,0/1/5,1005.0,"Sửa đổi Bảng 5 trong Điều 7:
Bảng 5. Chứng chỉ tiếng Anh dùng để xét công nhận tốt nghiệp
TOEIC
TOEFL
iBT
IELTS
Cambridge
English
VNU-
EPT
Nghe
và Đọc
Nói và
Viết
CTĐTr
450
185
45
4.5
PET (Pass)
Business Preliminary
(Pass)
176
CTTN/
CTCLC
555
205
60
5.5
PET (Distinction)
FCE
(Grade C)
Business Preliminary
(Distinction)
Business Vantage
(Grade C)
201
CTTT
675
205
79
6.0
FCE
(Grade B)
Business Vantage
(Grade B)
251"
108/QD/DHCNTT15/3/2019,dieu,Điều 2,Quyết định này có hiệu lực kể từ ngày ký.,0/2,2.0,Quyết định này có hiệu lực kể từ ngày ký.
108/QD/DHCNTT15/3/2019,khoan,Khoản 1,,0/2/1,2001.0,Quyết định này có hiệu lực kể từ ngày ký.
108/QD/DHCNTT15/3/2019,dieu,Điều 3,"Các Ông/Bà Trưởng các Phòng, Ban, Khoa, Bộ môn có liên quan chịu trách",0/3,3.0,"nhiệm thi hành Quyết định này.
Nơi nhận:
KT.HIỆU TRƯỞNG
-
-   Như Điều 3;
-
-   Lưu: VT, ĐTĐH (Nh)
PHÓ HIỆU TRƯỞNG
Đ
Vũ Đức Lung
Chương
trình
Chứng
chỉ"
