code,date,summary,pdf
292/2025/NĐ-CP,06/11/2025,Quy định chi tiết và hướng dẫn thi hành Nghị quyết số 216/2025/QH15 ngày 26 tháng 6 năm 2025 của Quốc hội về việc kéo dài thời hạn miễn thuế sử dụng đất nông nghiệp,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/11/292-nd.signed.pdf
291/2025/NĐ-CP,06/11/2025,"Sửa đổi, bổ sung một số điều của Nghị định số 103/2024/NĐ-CP ngày 30 tháng 7 năm 2024 của Chính phủ quy định về tiền sử dụng đất, tiền thuê đất và Nghị định số 104/2024/NĐ-CP ngày 31 tháng 7 năm 2024 của Chính phủ quy định về Quỹ phát triển đất",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/11/291-nd.signed.pdf
261/2025/NĐ-CP,10/10/2025,"Sửa đổi, bổ sung một số điều của Nghị định số 100/2024/NĐ-CP ngày 26 tháng 7 năm 2024 của Chính phủ quy định chi tiết một số điều của Luật Nhà ở về phát triển và quản lý nhà ở xã hội và Nghị định số 192/2025/NĐ-CP ngày 01 tháng 7 năm 2025 của Chính phủ quy định chi tiết một số điều và biện pháp thi hành Nghị quyết số 201/2025/QH15 ngày 29 tháng 5 năm 2025 của Quốc hội thí điểm về một số cơ chế, chính sách đặc thù phát triển nhà ở xã hội",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/10/261nd.signed.pdf
66.3/2025/NQ-CP,15/09/2025,"Tháo gỡ, xử lý vướng mắc để triển khai các dự án trong thời gian Quy hoạch sử dụng đất quốc gia thời kỳ 2021 - 2030, tầm nhìn đến năm 2050 chưa được phê duyệt điều chỉnh",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/66.3-cp.signed.pdf
154/2025/QĐ-UBND,10/09/2025,Ban hành Quy định một số chỉ tiêu cụ thể khi áp dụng phương pháp định giá đất theo Nghị định số 71/2024/NĐ-CP ngày 27 tháng 6 năm 2024 của Chính phủ trên địa bàn thành phố Hải Phòng,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/154hp.signed.pdf
230/2025/NĐ-CP,19/08/2025,"Quy định các trường hợp khác được miễn, giảm tiền sử dụng đất, tiền thuê đất theo quy định tại khoản 2 Điều 157 Luật Đất đai năm 2024",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/8/230nd.signed.pdf
226/2025/NĐ-CP,15/08/2025,"Sửa đổi, bổ sung một số điều của các nghị định quy định chi tiết thi hành Luật Đất đai",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/8/226nd.signed.pdf
77/2025/QĐ-UBND,29/07/2025,"Về việc ban hành Quy chế phối hợp trong công tác bồi thường, hỗ trợ và tái định cư khi Nhà nước thu hồi đất trên địa bàn thành phố Hải Phòng",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/8/77-ubnd.pdf
192/2025/NĐ-CP,01/07/2025,"Quy định chi tiết một số điều và biện pháp thi hành Nghị quyết số 201/2025/QH15 ngày 29 tháng 5 năm 2025 của Quốc hội thí điểm về một số cơ chế, chính sách đặc thù phát triển nhà ở xã hội",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/7/192nd.signed.pdf
50/2025/QĐ-UBND,25/06/2025,"Sửa đổi, bổ sung một số điều của Quy định ban hành kèm theo Quyết định số 44/2024/QĐ-UBND ngày 23/10/2024 của UBND tỉnh ban hành Quy định về bồi thường, hỗ trợ, tái định cư khi Nhà nước thu hồi đất trên địa bàn tỉnh Bến Tre",https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/7/qd-50_26062025025435.pdf
