document_id,document_number,sentence
8cf2028e7594f760b5d2209093f35329b217983589938a3920b721ca9a2f23ab,31/2024/QH15,"kế hoạch sử dụng đất quốc gia, quy hoạch và kế hoạch sử dụng đất cấp tỉnh, cấp huyện sau khi được cơ quan nhà nước có thẩm quyền phê duyệt phải được công bố công khai"
a0595ecb7b391a57060bca3ee57035e04570b1224325c131d319d1a9e4ae1933,31/2024/QH15,"xây dựng công trình dầu khí phục vụ khai thác, xử lý, chế biến và bảo dưỡng"
5b087ee875265e8b923dd3f7967d25b7091b45499f1c3cfdcea6a132ec497e81,31/2024/QH15,Phát triển công trình ngầm
167cac367bb51d214c812c458372a0df0d9513660af7ddd623d5e10b06bac469,31/2024/QH15,"Quyền và nghĩa vụ của tổ chức trong nước, tổ chức tôn giáo sử dụng đất do nhà nước giao được quy định rõ ràng"
871e15616556d5ad2180d55d75ef28db728ed11d6c1da6adba5dc555193cc4b7,31/2024/QH15,"Quyền và nghĩa vụ của tổ chức nước ngoài, người gốc Việt Nam định cư ở nước ngoài và tổ chức kinh tế có vốn đầu tư nước ngoài liên quan đến việc sử dụng đất được quy định rõ"
e698b33b3f604e3dfd7461ec641f8dec88db0ec7d4689f5a410fb6132f4b7e7c,31/2024/QH15,"Nếu người bị cưỡng chế không chấp hành, ban cưỡng chế thu hồi đất tổ chức thực hiện cưỡng chế"
6fed6607d86ab4f8e6de6d9799f1a969a4ffb8cd26f2d2b5b2c4cfaeb1f3b065,31/2024/QH15,tổ chức kinh tế có vốn đầu tư nước ngoài hoạt động
39e6e411b1a407ee53ae89762b31a04271f135980983ef3eaa2c1b406c8699ad,31/2024/QH15,xây dựng cơ sở y tế và cơ sở dịch vụ xã hội được nhà nước thành lập hoặc cho phép hoạt động
71e7354286ed8ec58501b4b5a7f7607941412c7562e657123753fe84ae415221,31/2024/QH15,"Đất đã thu hồi mà chưa giao, chưa cho thuê sử dụng tại khu vực nông thôn thì giao cho ủy ban nhân dân cấp xã quản lý"
c5972c297305ce776d3297b351e240e0361127de4861ab0f39264cba59859517,31/2024/QH15,xây dựng cơ sở khoa học và công nghệ do nhà nước thành lập hoặc cho phép hoạt động
517177e173d2b01b76a67301c73f8cfb29e625f3cbc68d0117f1276aab8f79f9,31/2024/QH15,", Quản lý nhà nước về đất đai quản lý hoạt động dịch vụ công về đất đai"
f6bc6e310578a98b33699deeb62cbaaabc28d55ef059c23af5f03feb6376cb82,31/2024/QH15,Đất được nhà nước giao quản lý bị lấn chiếm
162bf38c7e1100f18025feb6b7d544609ce232630096fe7cc3431b36f12da087,31/2024/QH15,"Việc tập trung đất đai để sản xuất nông nghiệp, lâm nghiệp quy mô lớn được thực hiện"
0dd17f62e237c2e167dfbcded0f18932baa41f3fa0901f9373fac6c63a8d713e,31/2024/QH15,"Đất đai và tài nguyên trên bề mặt, trong lòng đất phải được sử dụng bền vững, tiết kiệm và có hiệu quả"
0338f7ba64dc4a92a1ed731389a1d66650786676a518d35e4747c3e7a0536546,31/2024/QH15,quy hoạch tổng thể quốc gia
85d355b9c05dbfaa3d4f39b474437a0b1826578c06f4c8939a1aff57516e4cc6,31/2024/QH15,Đất có nguy cơ đe dọa tính mạng con người hoặc không còn khả năng sử dụng sẽ bị thu hồi
f508e5990e3630d0d61a9a468e5c338b81cf391a1cf67f3d8176be09fd01c84e,31/2024/QH15,Nhà ở công vụ của lực lượng vũ trang nhân dân được làm
e578d08f4de2cb39d8fc50572a501ee92de81677546c860875c1fc60e8893bc0,31/2024/QH15,Bộ bản đồ đất bị ô nhiễm được lập
d8eb7045ef108e365fdf605dfbf491ce3bccd44b224f5b1c4e030b39c86c5045,31/2024/QH15,"Các biện pháp bảo vệ, cải tạo và làm tăng độ màu mỡ của đất được thực hiện"
7de547fa37e2ebbd62cccab2dbc2a659ec2fb91410287ddb38f46491309b20d7,31/2024/QH15,"Các ý kiến về quy hoạch, kế hoạch sử dụng đất phải được tổng hợp đầy đủ và chính xác"
7de547fa37e2ebbd62cccab2dbc2a659ec2fb91410287ddb38f46491309b20d7,31/2024/QH15,"Các ý kiến về quy hoạch, kế hoạch sử dụng đất phải được tiếp thu và giải trình"
cd2802007fc4601b238e8aa827dfbb70184503e108967cbbb1c357bd75780364,31/2024/QH15,Hoạt động lấn biển được thực hiện
b67cb86a5f5e94d8faca98ecf7d54a8eda37e9a35959b9cb4432f7f340272e3c,31/2024/QH15,"Đất được nhà nước giao, cho thuê có thời hạn nhưng không được gia hạn sử dụng đất sẽ bị thu hồi"
178fd138ab36414ec8d6d520c62446448789e9432cde3abdf801e5edb8d1cfbb,31/2024/QH15,"Việc thực hiện trên phạm vi cả nước, các vùng kinh tế - xã hội, đơn vị hành chính cấp tỉnh phải bảo đảm liên tục, kế thừa"
cfd5a788aa53a5b83ea03844d015fa06e1f20c85d7ab6702a4143a498cee9a6e,31/2024/QH15,"Hợp đồng chuyển nhượng, tặng cho, thế chấp, góp vốn bằng quyền sử dụng đất và quyền sử dụng đất gắn liền với tài sản phải được công chứng hoặc chứng thực"
5bf9f2acb9e3d964c2b2589878b6d33b749ea086ff24ecb1a3ed6b99de766d57,31/2024/QH15,", Quản lý nhà nước về đất đai giải quyết khiếu nại, tố cáo về đất đai"
e3bca95c4c4e6d47c2bc1cd26eac97cceefde13f4112748871b8dbfea8f87b76,31/2024/QH15,Quy hoạch sử dụng đất các cấp được lập đồng thời
7601f75576d88b4f817be8b038b1fa88253ede324fc1195bda162fcfbee230f5,31/2024/QH15,"Quyền và nghĩa vụ của cá nhân, cộng đồng dân cư sử dụng đất được nhà nước giao hoặc công nhận được quy định rõ ràng"
dc08dcc7d7607d9306f1f2453b902a11cba5197d2f4ca6ad93b4732af1810442,31/2024/QH15,Căn cứ quân sự được sử dụng
3ef6de7a8640922b2350967dfa283619ad0bc4319569eef71478bc18c203ea69,31/2024/QH15,"Việc công chứng, chứng thực hợp đồng và văn bản về quyền sử dụng đất được thực hiện theo quy định"
8d7d5c4115582dddb3a50f218405436b6ad70ad18f6221bd596ecc75d07e6275,31/2024/QH15,đồng thời xây dựng báo cáo thuyết minh hiện trạng sử dụng đất
92f29b3a0c8788749049928ec7e0393eddb645e44ede6dd3a9893b4e9586399e,31/2024/QH15,"Quyền và nghĩa vụ của tổ chức trong nước, tổ chức tôn giáo, tổ chức tôn giáo trực thuộc về quyền sử dụng đất của hợp tác xã, liên hiệp hợp tác xã khi giải thể, phá sản được thực hiện theo quy định"
09722a778059cf5c033ece47767ea50d97df21dbaa93d3860d535090c292b91d,31/2024/QH15,"Trường hợp thu hồi đất để thực hiện dự án, công trình vì lợi ích quốc gia, công cộng được thực hiện theo quy định"
728edf08ab3561e58e04e131e28755de89302c7199d79c28e19b97727bf232b6,31/2024/QH15,dự án vùng phụ cận các điểm kết nối giao thông và các tuyến giao thông có tiềm năng phát triển được ưu tiên phát triển
a86afd75646dc06e1f06b32cb2af28d0d6a4d15e39d2467209f61c9fd14ec953,31/2024/QH15,"Quyền và nghĩa vụ của cá nhân, cộng đồng dân cư sử dụng đất thuê của nhà nước được quy định rõ ràng"
0589239a4663a200ef98dcd76f9a3ee8e6e421ccaee05a8908c3471ba7dfb371,31/2024/QH15,Tổ chức nước ngoài có chức năng ngoại giao được chính phủ Việt Nam thừa nhận
e6caf7ced36cce28faceefd9a7bc0ea7910009f4c0f2c097c1289d12e3704a4b,31/2024/QH15,Người có thẩm quyền quyết định trưng dụng đất và quyết định gia hạn trưng dụng đất không được ủy quyền
5e577b8db81a4d362ad84ed81589be37a5d037fd823dc1d3ab4c0b5ff374dd1b,31/2024/QH15,Tổ chức tôn giáo và tổ chức tôn giáo trực thuộc hoạt động
