document_id,document_number,sentence
1745f676ca47ed15adecf84dba32d98ab5cc41c9bfef326b5010eedfe62319a2,37/2018/TT-BGTVT,việc quản lý công trình dân dụng được thực hiện theo quy định của pháp luật về công trình dân dụng
1745f676ca47ed15adecf84dba32d98ab5cc41c9bfef326b5010eedfe62319a2,37/2018/TT-BGTVT,việc quản lý công trình hạ tầng kỹ thuật đô thị được thực hiện theo quy định của pháp luật về công trình dân dụng
1745f676ca47ed15adecf84dba32d98ab5cc41c9bfef326b5010eedfe62319a2,37/2018/TT-BGTVT,việc quản lý công trình công nghiệp vật liệu xây dựng được thực hiện theo quy định của pháp luật
1745f676ca47ed15adecf84dba32d98ab5cc41c9bfef326b5010eedfe62319a2,37/2018/TT-BGTVT,việc quản lý công trình hạ tầng kỹ thuật đô thị được thực hiện theo quy định của pháp luật
793e8c0cd7a6e620e9952b844fad4c519cb3b5b312cfaf4e2c3330008cbd7f0c,37/2018/TT-BGTVT,việc quản lý các hạng mục công trình phải phù hợp với từng loại và cấp của hạng mục công trình
793e8c0cd7a6e620e9952b844fad4c519cb3b5b312cfaf4e2c3330008cbd7f0c,37/2018/TT-BGTVT,việc vận hành khai thác các hạng mục công trình phải phù hợp với từng loại và cấp của hạng mục công trình
793e8c0cd7a6e620e9952b844fad4c519cb3b5b312cfaf4e2c3330008cbd7f0c,37/2018/TT-BGTVT,việc bảo trì các hạng mục công trình phải phù hợp với từng loại và cấp của hạng mục công trình
aee5d7b5cf52423b7929d80bb72d4cdb0fd7724318fe13576b03d9dcf81085a0,37/2018/TT-BGTVT,"kiểm tra công trình đường bộ bao gồm kiểm tra theo quy chuẩn, tiêu chuẩn kỹ thuật, quy trình bảo trì được duyệt"
aee5d7b5cf52423b7929d80bb72d4cdb0fd7724318fe13576b03d9dcf81085a0,37/2018/TT-BGTVT,"kiểm tra công trình đường bộ bao gồm kiểm tra thường xuyên, định kỳ và đột xuất nhằm phát hiện các dấu hiệu xuống cấp, hư hỏng của công trình, thiết bị lắp đặt vào công trình"
aee5d7b5cf52423b7929d80bb72d4cdb0fd7724318fe13576b03d9dcf81085a0,37/2018/TT-BGTVT,kiểm tra công trình đường bộ làm cơ sở cho việc bảo trì công trình
af1dd8f9d04fbf43903435393857fb45ab614d57eee5b22d1bdccbb4e0419a17,37/2018/TT-BGTVT,quan trắc công trình đường bộ cần được thực hiện
af1dd8f9d04fbf43903435393857fb45ab614d57eee5b22d1bdccbb4e0419a17,37/2018/TT-BGTVT,các bộ phận công trình bao gồm các kết cấu chịu lực chính của công trình
af1dd8f9d04fbf43903435393857fb45ab614d57eee5b22d1bdccbb4e0419a17,37/2018/TT-BGTVT,các kết cấu chịu lực chính của công trình gồm kết cấu nhịp cầu
af1dd8f9d04fbf43903435393857fb45ab614d57eee5b22d1bdccbb4e0419a17,37/2018/TT-BGTVT,các kết cấu chịu lực chính của công trình gồm trụ tháp cầu treo
af1dd8f9d04fbf43903435393857fb45ab614d57eee5b22d1bdccbb4e0419a17,37/2018/TT-BGTVT,các kết cấu chịu lực chính của công trình gồm vỏ hầm
2f444973592db965e50fb7108a415382ddc27565a6734a4333ce5d7d42bb006d,37/2018/TT-BGTVT,nội dung này gồm các vị trí quan trắc
2f444973592db965e50fb7108a415382ddc27565a6734a4333ce5d7d42bb006d,37/2018/TT-BGTVT,nội dung này gồm các thông số quan trắc và giá trị giới hạn của các thông số này
