document_id,document_number,sentence
2c1f5031-d58a-4757-9496-e22dd772c192,,Học sinh thôi học
2c1f5031-d58a-4757-9496-e22dd772c192,,", Học sinh tạm dừng học tập"
d0ddb565-2b94-46d4-8c0a-2a589126686c,,Học sinh thôi học
d0ddb565-2b94-46d4-8c0a-2a589126686c,,Học sinh tạm dừng học tập
a3fadec8-4030-4f58-a763-658e952747d1,,"Trong trường hợp sai sót nặng, phải báo cáo và xin ý kiến hiệu trưởng"
1dba212b-f40c-40fe-b69c-9c13c71774f1,,0 trở lên hoặc nộp chứng chỉ tiếng Anh đạt trình độ B1 theo CEFR
3a3010fb-6ad7-4743-a583-095b69bada29,,"Bài làm của sinh viên phải viết rõ ràng, sạch sẽ và không nhàu nát"
3a3010fb-6ad7-4743-a583-095b69bada29,,"Nếu cần hỏi cán bộ coi thi, sinh viên phải hỏi công khai"
3a3010fb-6ad7-4743-a583-095b69bada29,,"Trường hợp ốm đau cần cấp cứu, việc ra khỏi phòng thi do cán bộ trực lãnh đạo thi quyết định"
8a9cca00-1f73-401b-9d04-e4abe7ca3559,,Sơ đồ tóm tắt lập danh sách miễn giảm coi thi
8a9cca00-1f73-401b-9d04-e4abe7ca3559,,"Sơ đồ tóm tắt thông báo cán bộ, sinh viên đăng ký coi thi"
8a9cca00-1f73-401b-9d04-e4abe7ca3559,,Sơ đồ tóm tắt lập sổ theo dõi bàn giao
3eb0cbba-6f5e-4aec-a1df-ed729cd83771,,mục tiêu của chương trình giáo dục và phương thức đào tạo được xác định rõ ràng
03054046-9fe0-4b95-9c7d-6553f936c7ad,,Tuyệt đối không được để nhầm lẫn hoặc mất bài thi
c7ab8022-6f5c-498e-b655-5e6f060aefb4,,bộ máy tổ chức và quản lý đào tạo từ xa được thiết lập
eeb785d9-6cc2-407c-bec9-a2a99a7d8bfc,,Các quyết định trước đây trái với quy định này đều được bãi bỏ
4a7af00f-06fa-4b43-b8d2-1012495ed115,,"Họ, chữ đệm, tên và ngày tháng năm sinh của người được cấp văn bằng, chứng chỉ được ghi nhận"
ef0b0aff-7baf-48f4-87ba-0f1bd2957261,,Phương thức giảng dạy môn học được quy định rõ ràng
