document_id,document_number,sentence
b1159840d4c6d25aa5e86aa5ad0a6c59c7e1de9355034b0071f977c35837702a,790/QĐ-ĐHCNTT,"ứng dụng công nghệ thông tin trong tổ chức đào tạo qua mạng là việc sử dụng các trang thiết bị điện tử, phần mềm, học liệu điện tử và mạng viễn thông nhằm đổi mới phương pháp dạy học và nâng cao hiệu quả công tác đào tạo"
5ea13715215af8d2c09ebe986bc261764f4272c94443292a48517ebebc83aaf9,790/QĐ-ĐHCNTT,"sau khi thi, điểm i được điều chỉnh thành điểm sinh viên đạt được"
a8414becb5ae567f0664d30e2da070723af966f21f59c66d2a72752c5c7a24e5,790/QĐ-ĐHCNTT,sinh viên được quyền xin tạm dừng học tập và bảo lưu kết quả học tập
06a161af833136c086e91fd339703eb76d38cd2487f968017489aae58a7a8c7c,790/QĐ-ĐHCNTT,ứng dụng công nghệ thông tin trong quản lý là việc sử dụng công nghệ thông tin nhằm nâng cao chất lượng và hiệu quả của hoạt động quản lý
9a612f13aa84a49697d7535605437a759a0bd5ab6804e56f6fac234760fbc6e9,790/QĐ-ĐHCNTT,bằng tốt nghiệp được cấp theo ngành đào tạo
40e244aa82d9416c9a8905d0e14bb38769f4845ec5d412fbe208391545497929,790/QĐ-ĐHCNTT,sinh viên xin chuyển trường phải có hồ sơ xin chuyển trường theo mẫu quy định
c9d8664333f3148be58e232123f46f64c454c9e2eee7613b24b3046a29940aea,790/QĐ-ĐHCNTT,sinh viên trình độ đại học đang học tại các cơ sở đào tạo khác muốn đăng ký học thêm
6f23dbbd6c9c7f693799753c654b50dfa375642f400df3e54332d092871ed2f4,790/QĐ-ĐHCNTT,đtbctl được tính khi sinh viên đủ điều kiện tốt nghiệp và được dùng để phân loại kết quả học tập và xếp hạng tốt nghiệp
a4dc59c89b3f6608d8556b7123aa5b53392c51676312f9444864a79e174e70af,790/QĐ-ĐHCNTT,"sau khi tốt nghiệp, sinh viên được cấp một bảng điểm kèm theo bằng tốt nghiệp"
7ec21b3e7c4a200d556eafb4e96632318dbd53a259fa8298d8d8451acf56cc35,790/QĐ-ĐHCNTT,quy định về các môn chuyên đề tốt nghiệp được ghi rõ trong chương trình đào tạo
2b2a2dfc42c7e9e9c6ac886fe42e1143a122a833a62edd244562c76662b45a77,790/QĐ-ĐHCNTT,"quy định đào tạo đại học theo hình thức đào tạo từ xa và đào tạo các chương trình đặc biệt của trường được xây dựng, điều chỉnh phù hợp với đặc thù hệ đào tạo và chương trình dựa trên cơ sở quy chế này"
9fc52b1341e924bcf2e6bf40d7e98b130bb561f57a3221aa4529b6cb825a03dc,790/QĐ-ĐHCNTT,"đtbhk, đtbc và đtbctl được làm tròn đến 0,01"
d2bb6a6d7d459ebee932c8afbc6777a2c4b42bfce7bbfe29ec9724aaeb112cd2,790/QĐ-ĐHCNTT,đào tạo trình độ đại học được thực hiện trong thời gian từ 3 đến 5 năm đối với văn bằng 1
d2bb6a6d7d459ebee932c8afbc6777a2c4b42bfce7bbfe29ec9724aaeb112cd2,790/QĐ-ĐHCNTT,đào tạo trình độ đại học được thực hiện trong thời gian từ 2 đến 3 năm đối với văn bằng 2
d2bb6a6d7d459ebee932c8afbc6777a2c4b42bfce7bbfe29ec9724aaeb112cd2,790/QĐ-ĐHCNTT,"đào tạo trình độ đại học được thực hiện trong thời gian từ 1,5 đến 2,5 năm đối với liên thông"
ba257506dc1bd0ac2c7b78fd451b156dd3def460b4580e7636ed956b802429da,790/QĐ-ĐHCNTT,"khi nộp hồ sơ xét tốt nghiệp, sinh viên có thể làm đơn xin hủy học phần tự chọn đã học"
5edcbf981db23bbad6f8406d3935905cbb6f2b9304afad22a2770c8e67a1c5cd,790/QĐ-ĐHCNTT,xếp loại tốt nghiệp được xác định dựa trên điểm trung bình chung tích lũy theo quy định
895f20b436c80c672555f7b9b5a5a79278b384f6ea48cff29fbb1201acce9ffc,790/QĐ-ĐHCNTT,"đtbhk, đtbc và đtbctl được tính theo công thức"
9fc4ca12fa6a4f3deec9aa112eb4f8892b02b3a0c04af7845a4e791a446766f0,790/QĐ-ĐHCNTT,đình chỉ học tập có thời hạn áp dụng đối với sinh viên vi phạm kỷ luật trong thời gian bị cảnh báo hoặc vi phạm nghiêm trọng các quy định
5653039d6eda094b310773690d7a2a16c2ec45a2b9edfe534c8a40b239ad3b1c,790/QĐ-ĐHCNTT,tổ chức giảng dạy và học theo phương thức trực tuyến phải thực hiện theo quy định giảng dạy trực tuyến của trường
f9d85a62ee93f79b0622db2d8a1a60df0f8d48aedb6a0bca56bf6d1327e199a7,790/QĐ-ĐHCNTT,việc công nhận và chuyển đổi tín chỉ của trường đảm bảo các nguyên tắc
28604a6850fa1ad24cf90eb4b08dcf099c42f1393c8064994bafbf1d63d519b3,790/QĐ-ĐHCNTT,sinh viên tạm dừng học tập
9ef01dfa3e3568976bd0da8769b5b57a93901c26e5df0cb3c3bacc4e97b45b9f,790/QĐ-ĐHCNTT,tổ chức đánh giá môn học được thực hiện theo đề cương chi tiết đã phê duyệt và quy định của trường đại học
75bd929333ceabe72decd3447b4b2b97c53d3709fe4d14076caaa69bc21c2abb,790/QĐ-ĐHCNTT,điểm bảo lưu được tính vào điểm trung bình cộng và điểm trung bình cộng tích lũy
d3879c06c801ac98a75b87e1e0442f5453630b5838192cd782dc8872d05d0e10,790/QĐ-ĐHCNTT,sinh viên trình độ đại học văn bằng 1 đang học tại trường được đăng ký học thêm một
