so_hieu,title,issued_date,effective_date,unit,status,n_items
101/TB/DHCNTT,101-Tb-Dhcntt 29-12-2021 Thong Bao Su Dung Ket Qua Thi Vpet 0 0,,,UIT,effective,0
108/QD/DHCNTT15/3/2019,108-Qd-Dhcntt15-3-2019 Sua Doi Bo Sung Quy Dinh Dao Tao Ngoai Ngu Doi Voi He Dh Chinh Quy Qui Dinh 141 0,,,UIT,effective,11
1139,1139 Qd-Dhcntt 20-12-2022 To Chuc Thi Cac Mon Hoc He Dai Hoc Chinh Quy,,,UIT,effective,183
119/TB/DHCNTT,119-Tb-Dhcntt 19-9-2022 Thong Bao Ngung Su Dung Chung Chi Vpet Toeic Bach Khoa Va Phoi Van Bang Moi 0 0,,,UIT,effective,0
1192/TB/DHCNTT,1192-Tb-Dhcntt 25-10-2024 Tu Ngu Su Dung In Tren Plvb Bd Gxn 0,,,UIT,effective,0
125/QD/DHCNTT/DTDH,125-Qd-Dhcntt-Dtdh 18-09-2015 Quyet Dinh Ban Hanh Qui Dinh Tam Thoi Day Va Hoc Tieng Anh Khoa 2015 0,,,UIT,effective,53
128/QD/DHCNTT/DTDH,128-Qd-Dhcntt-Dtdh 30-8-2016 Ban Hanh Qd Day Va Hoc Nn Doi Voi He Dai Hoc Cq Cua Truong Dhcntt Khoa 2016,,,UIT,effective,63
131/QD/DHCNTT,131-Qd-Dhcntt 08-03-2022 Quy Dinh Dao Tao Chuong Trinh Tai Nang,,,UIT,effective,0
133/QD/DHCNTT,133-Qd-Dhcntt 17-02-2025 Cap Nhat Bo Sung Mau Plvb Tot Nghiep Dh Ths,,,UIT,effective,0
1376,1376 Qd-Dhcntt 28-12-2023 Cap Nhat Quy Dinh To Chuc Thi,,,UIT,effective,0
1393/QD/DHCNTT,1393-Qd-Dhcntt 29-12-2023 Cap Nhat Quy Che Dao Tao Theo Hoc Che Tin Chi Cho He Dai Hoc Chinh Quy,,,UIT,effective,0
141/QD/DHCNTT16/3/2018QUY,141-Qd-Dhcntt16-3-2018Quy Dinh Dao Tao Ngoai Ngu Doi Voi He Dh Chinh Quy Cua Truong Dhcntt Ap Dung Tu Khoa 2017 0,,,UIT,effective,73
147/QD/DHCNTT/DTDH,147-Qd-Dhcntt-Dtdh 31-07-2013 Quyet Dinh Ve Viec Ban Hanh Chuan Dau Ra Tieng Anh Cho Sv He Cq 2006-2014 0 0,,,UIT,effective,8
153/TB/DHCNTT13/12/2022,153-Tb-Dhcntt13-12-2022 Ngung Su Dung Ket Qua Bai Thi Nn Qt Ielts Indicator Va Toefl Ibt Home Edition 0,,,UIT,effective,0
159/QD/DHCNTT,159-Qd-Dhcntt 05-03-2024 Ban Hanh Quy Dinh Kltn,,,UIT,effective,79
172/QD/DHCNTT,172-Qd-Dhcntt 08-3-2023 Quy Che Van Bang Chung Chi,,,UIT,effective,223
35/TB/DHCNTT,35-Tb-Dhcntt 21-5-2019 Cong Nhan Chung Chi Tieng Nhat Nat-Test Cho Chuan Qua Trinh 0 0,,,UIT,effective,0
364/QD/DHCNTT,364-Qd-Dhcntt 22-04-2024 Sua Doi Quy Dinh Dao Tao Ngoai Ngu,,,UIT,effective,0
43/TB/DHCNTT/23/06/2020,43-Tb-Dhcntt-23-06-2020 Thoi Diem Va Muc Thu Hoc Phi Gia Han Doi Voi Sv He Dai Hoc Chinh Quy,,,UIT,effective,0
507/QD/DHCNTT/27/5/2024,507-Qd-Dhcntt-27-5-2024 Quy Che Dao Tao Cho Sinh Vien,,,UIT,effective,178
547/QD/DHCNTT,547-Qd-Dhcntt 30-8-2019 Qui Dinh Dao Tao Ngoai Ngu Doi Voi He Chinh Qui Khoa 2019 0 0,,,UIT,effective,84
547/QĐ-ĐHCNTT,"Chính sách hỗ trợ công bố khoa học cho SV cao học, NCS (547/QĐ-ĐHCNTT)",,,UIT,effective,1
560/QD/DHCNTT,560-Qd-Dhcntt 5-6-2024 Sua Doi Quy Dinh Dao Tao Ngoai Ngu Doi Voi He Dai Hoc Chinh Quy,,,UIT,effective,0
583/QD/DHCNTT,583-Qd-Dhcntt 12-6-2023 Ban Hanh Quy Trinh Nop Kltn Sau Khi Bao Ve Truoc Hoi Dong Bao Ve Kltn,,,UIT,effective,0
790/QĐ-ĐHCNTT,Quy chế đào tạo theo học chế tín chỉ cho hệ đại học chính quy của Trường Đại học Công nghệ Thông tin,9/28/2022,,Trường ĐHCNTT (UIT),effective,471
828,828 Qd-Dhcntt 04-10-2022 Quy Dinh Dao Tao Ngoai Ngu Doi Voi He Chinh Qui Khoa 2022 0 0,,,UIT,effective,0
