so_hieu,level,title,heading,path,ordinal,parent_item_id,item_id
108/QD/DHCNTT15/3/2019,chuong,Chương,,0,0,,cbbd1378-acf1-4c00-b9bb-567e60f3f460
108/QD/DHCNTT15/3/2019,dieu,Điều 1,"Sửa đổi, bổ sung một số Điều, Khoản của “Quy định đào tạo ngoại ngữ đối với",0/1,1,cbbd1378-acf1-4c00-b9bb-567e60f3f460,325c4726-d9b7-41c6-8e0d-ee147ab17702
108/QD/DHCNTT15/3/2019,khoan,Khoản 1,,0/1/1,1001,325c4726-d9b7-41c6-8e0d-ee147ab17702,93338590-f2ae-4491-8ac5-e69ecfe08009
108/QD/DHCNTT15/3/2019,khoan,Khoản 2,,0/1/2,1002,325c4726-d9b7-41c6-8e0d-ee147ab17702,c301c77e-8c74-4a8f-b508-3916e9cac194
108/QD/DHCNTT15/3/2019,khoan,Khoản 3,,0/1/3,1003,325c4726-d9b7-41c6-8e0d-ee147ab17702,d1829196-4845-4d58-b7f0-32e96b86e478
108/QD/DHCNTT15/3/2019,khoan,Khoản 4,,0/1/4,1004,325c4726-d9b7-41c6-8e0d-ee147ab17702,550c781e-99cb-4eec-bb1f-27f7c6760283
108/QD/DHCNTT15/3/2019,khoan,Khoản 5,,0/1/5,1005,325c4726-d9b7-41c6-8e0d-ee147ab17702,277f38f4-9794-4fec-bdec-44a94127bb96
108/QD/DHCNTT15/3/2019,dieu,Điều 2,Quyết định này có hiệu lực kể từ ngày ký.,0/2,2,cbbd1378-acf1-4c00-b9bb-567e60f3f460,27d21d08-8950-47be-86c2-e610b3e908c9
108/QD/DHCNTT15/3/2019,khoan,Khoản 1,,0/2/1,2001,27d21d08-8950-47be-86c2-e610b3e908c9,966c6a8d-7182-4014-a145-6eee425bbd55
108/QD/DHCNTT15/3/2019,dieu,Điều 3,"Các Ông/Bà Trưởng các Phòng, Ban, Khoa, Bộ môn có liên quan chịu trách",0/3,3,cbbd1378-acf1-4c00-b9bb-567e60f3f460,fbe8ea5a-c32e-4087-a2e9-0b209066aaab
108/QD/DHCNTT15/3/2019,khoan,Khoản 1,,0/3/1,3001,fbe8ea5a-c32e-4087-a2e9-0b209066aaab,7f839070-806e-4ad5-b4c8-dcd1d203b261
1139,chuong,Chương,,0,0,,a885d864-5757-4fd4-9718-5770a1fae702
1139,dieu,Điều 1,Ban hành kèm theo Quyết định này “Quy định tổ chức thi các môn học hệ đại,0/1,1,a885d864-5757-4fd4-9718-5770a1fae702,24f3c8ea-22e9-47af-ab20-2bedba00f910
1139,khoan,Khoản 1,,0/1/1,1001,24f3c8ea-22e9-47af-ab20-2bedba00f910,15ad59a5-d016-49e0-8db3-42daa12ca53e
1139,dieu,Điều 2,"Các Ông/Bà Trưởng các Phòng, Ban, các đơn vị có liên quan và sinh viên chính",0/2,2,a885d864-5757-4fd4-9718-5770a1fae702,b007a86b-eef2-47c3-b7a6-401e97f6150f
1139,khoan,Khoản 1,,0/2/1,2001,b007a86b-eef2-47c3-b7a6-401e97f6150f,4baa90ea-fa3a-458c-8557-0f1445e1478c
1139,chuong,Chương 1,,1,1,,3b5d7bc8-71a7-4831-991e-6df5f6431a59
1139,dieu,Điều 1,Phạm vi điều chỉnh và đối tượng áp dụng,1-Jan,1001,3b5d7bc8-71a7-4831-991e-6df5f6431a59,07f4b2f1-9571-4d5f-8a71-c1ad70a429de
1139,khoan,Khoản 1,,1/1/2001,1001,07f4b2f1-9571-4d5f-8a71-c1ad70a429de,f7fa6cca-9547-4666-bd06-70c8b6b481be
1139,khoan,Khoản 2,,1/1/2002,1002,07f4b2f1-9571-4d5f-8a71-c1ad70a429de,604d6062-4f43-49a6-ba7f-9b7663645d56
1139,diem,Điểm a),,1/1/2/a,1002.01,604d6062-4f43-49a6-ba7f-9b7663645d56,eb0070ce-3927-4f5a-876f-754534bb0ada
1139,diem,Điểm b),,1/1/2/b,1002.02,604d6062-4f43-49a6-ba7f-9b7663645d56,483dcc0e-9842-4274-a845-c6d2571e507e
1139,diem,Điểm c),,1/1/2/c,1002.03,604d6062-4f43-49a6-ba7f-9b7663645d56,38446f21-b888-48c6-8ae3-9368a5a0e437
1139,diem,Điểm d),,1/1/2/d,1002.04,604d6062-4f43-49a6-ba7f-9b7663645d56,c1515d30-beb6-4d38-89d8-03b241d4fc03
1139,khoan,Khoản 3,,1/1/2003,1003,07f4b2f1-9571-4d5f-8a71-c1ad70a429de,11a12171-70f8-4d34-bcd3-c2c0349c01b6
1139,dieu,Điều 2,Chỉ đạo công tác thi,2-Jan,1002,3b5d7bc8-71a7-4831-991e-6df5f6431a59,85d3b43d-82fa-490e-a004-953f66c4b3c8
1139,khoan,Khoản 1,,1/2/2001,2001,85d3b43d-82fa-490e-a004-953f66c4b3c8,6a422f3d-de35-477c-bd71-c51efdf31b5b
1139,dieu,Điều 3,"Hoạt động thanh tra, kiểm tra, giám sát công tác thi",3-Jan,1003,3b5d7bc8-71a7-4831-991e-6df5f6431a59,c12995b6-7bfe-4cbc-b557-38a2ced46f68
1139,khoan,Khoản 1,,1/3/2001,3001,c12995b6-7bfe-4cbc-b557-38a2ced46f68,c8b2db71-e216-4ae8-bc47-09d9a1400b5a
1139,dieu,Điều 4,Điều kiện dự thi,4-Jan,1004,3b5d7bc8-71a7-4831-991e-6df5f6431a59,54b86a0d-17c5-4751-8afc-28419a140001
1139,khoan,Khoản 1,,1/4/2001,4001,54b86a0d-17c5-4751-8afc-28419a140001,65021dc0-8ebc-475c-965a-b4f98ac4bf31
1139,khoan,Khoản 2,,1/4/2002,4002,54b86a0d-17c5-4751-8afc-28419a140001,2e68265f-3544-449f-96b7-fdb9d79a2109
1139,chuong,Chương 2,,2,2,,0fcd1d75-5521-4a7f-a3ad-bfdb21a23678
1139,dieu,Điều 10,Xử lý các sự cố bất thường của đề thi,10-Feb,2010,0fcd1d75-5521-4a7f-a3ad-bfdb21a23678,92802be6-b552-4160-932a-35cbbc2083a9
1139,khoan,Khoản 1,,2/10/2001,10001,92802be6-b552-4160-932a-35cbbc2083a9,a3fadec8-4030-4f58-a763-658e952747d1
1139,khoan,Khoản 2,,2/10/2002,10002,92802be6-b552-4160-932a-35cbbc2083a9,e2c2f935-c599-43aa-bfe7-10107a2057d9
